Verified,Performance Title,Performance title in Japanese,Date,Time,Venue concatenated,Venue address,Latitude,Longtitude,Venue capacity,Genres concatenated,Performance types concatenated,"English name of performing troupes, performers concatenated","Kanji name of performing troupes, performers concatenated",Organizers/Sponsors concatenated,Org/Spon type 1,Organizers concatenated,org/spon type 2,Sponsors concatenated,org/spon type 3,Festival
,Night of the Cherry Blossom: Japanese Cultural variety show,,1966-11-29,20:00,National Theatre,,,103.844164,,Folk dance; Minyo; Nihon Buyo,Others,Japanese cultural performance troupe led by Hanayagi Hiroyuki,,Embassy of Japan in Singapore; National Theatre Trust; Ministry of Foreign Affairs (MFA),,,,,,
,Kirino Yoshifumi electric organ solo concert,????,1966-11-20,15:30,Cultural Centre (Fort Canning),,1.295369,103.84667,,Classical music; Contemporary music,Concert,Kirino Yoshifumi,????,"Yamaha Music (Asia) Pte. Ltd.; The Music Society, Singapore (SGMUSO);  ",,Yamaha Music (Asia) Pte. Ltd.,,,,
,Paul Makanowitzky violin solo concert,,1967-04-29,20:45,Victoria Theatre & Concert Hall,,1.28834,103.851652,,Classical music,Concert,Tokumaru Sachiko,????,,,,,,,
,Kirino Yoshifumi electric organ solo concert,,1967-05-27,20:00,Singapore Conference Hall,,1.276165,103.84903,,Classical music; Folk music; Contemporary music; Jazz,Concert,Kirino Yoshifumi,????,Yamaha Music (Asia) Pte. Ltd.,,,,,,
,Kirino Yoshifumi electric organ charity solo concert,,1967-06-04,20:30,Bukit Club House,,1.341669,103.810929,,Classical music; Folk music; Contemporary music; Jazz,Concert,Kirino Yoshifumi,????,Singapore Association for the Blind (renamed Singapore Association of the Visually Handicapped in 1987),,,,,,
,Night of the Cherry Blossom: Variety show by Takarazuka Revue,,1968-05-09,,National Theatre,,1.292954,103.844164,,Nihon Buyo; Contemporary dance,Others,Takarazuka Revue,,Japan Airlines (JAL); National Theatre Trust,,,,,,
,Japanese folk dance performance,,1970-05-01,Evening,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Dance,Japanese Folklore Dance Company,,National Theatre Trust,,,,,,
,Japanese folk dance performance,,1970-05-02,Evening,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Dance,Japanese Folklore Dance Company,,National Theatre Trust,,,,,,
,Japanese folk dance performance,,1970-05-03,Evening,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Dance,Japanese Folklore Dance Company,,National Theatre Trust,,,,,,
,Traditional Japanese dance performed by the Japan Traditional Dance Troupe,,1970-07-01,20:30,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Dance,Japan Traditional Dance Troupe,???????; ??????? (CH)?,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust; Embassy of Japan in Singapore",,"The Japanese Cultural Society, Singapore (JCS)",,,,
,Traditional Japanese dance performed by the Japan Traditional Dance Troupe,,1970-07-02,20:30,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Dance,Japan Traditional Dance Troupe,???????; ??????? (CH)?,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust; Embassy of Japan in Singapore",,"The Japanese Cultural Society, Singapore (JCS)",,,,
,Traditional Japanese dance performed by the Japan Traditional Dance Troupe,,1970-07-03,18:30,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Dance,Japan Traditional Dance Troupe,???????; ??????? (CH)?,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust; Embassy of Japan in Singapore",,"The Japanese Cultural Society, Singapore (JCS)",,,,
,Okamura Takao solo concert,,1970-10-30,20:45,Singapore Conference Hall,,1.276165,103.84903,,Choir,Concert,Okakura Takao,????,Singapore Musical Society,,,,,,
,"Violin recital by Yanagita Masako, accompanied by Lee Kum Sing on the piano",,1971-01-22,Evening,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Contemporary music,Concert,Masako Yanagita,,Singapore Musical Society,,,,,,
,Traditional Japanese music recital,,1971-12-07,19:00-22:00,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Traditional music,Concert,,,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; International Ikebana Association; National Theatre Trust",,,,,,
,Variety show performance by Sh?chiku Revue,,1971-12-08,Evening,National Theatre,,1.292954,103.844164,,Nihon Buyo; Folk dance; Contemporary dance; Contemporary music,Others,Sh?chiku Revue,,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; International Ikebana Association; National Theatre Trust",,,,,,
,Traditional Japanese music recital,,1971-12-08,19:00-22:00,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Traditional music,Concert,,,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; International Ikebana Association; National Theatre Trust",,,,,,
,Variety show performance by Sh?chiku Revue,,1971-12-09,Evening,National Theatre,,1.292954,103.844164,,Nihon Buyo; Folk dance; Contemporary dance; Contemporary music,Others,Sh?chiku Revue,,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; International Ikebana Association; National Theatre Trust",,,,,,
,Variety show performance by Sh?chiku Revue,,1971-12-10,Evening,National Theatre,,1.292954,103.844164,,Nihon Buyo; Folk dance; Contemporary dance; Contemporary music,Others,Sh?chiku Revue,,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; International Ikebana Association; National Theatre Trust",,,,,,
,Ballet performance by Memorial Tokyo Ballet Company,,1972-10-31,20:30,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tchaikovsky Memorial Tokyo Ballet Company,,National Theatre Trust; Embassy of Japan in Singapore; National Theatre Trust,,,,Sanyo of Singapore; Japan Airlines (JAL),,
,Ballet performance by Memorial Tokyo Ballet Company,,1972-11-01,20:30,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tchaikovsky Memorial Tokyo Ballet Company,,National Theatre Trust; Embassy of Japan in Singapore; National Theatre Trust,,,,Sanyo of Singapore; Japan Airlines (JAL),,
,Ballet performance by Memorial Tokyo Ballet Company,,1972-11-02,20:30,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tchaikovsky Memorial Tokyo Ballet Company,,National Theatre Trust; Embassy of Japan in Singapore; National Theatre Trust,,,,Sanyo of Singapore; Japan Airlines (JAL),,
,Violin recital by Kobayashi Takeshi,,1972-12-04,Evening,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Contemporary music,Concert,Kobayashi Takeshi,,Embassy of Japan in Singapore,,,,,,
,Dance performance by Folklorico Dancers,,1973-04-09,Evening,National Theatre,,1.292954,103.844164,,Nihon Buyo; Folk dance; Minyo,Dance,Folklorico Dancers,,,,,,,,
,Violin recital by Kobayashi Takeshi,,1973-07-03,Evening,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.28834,103.851652,,Contemporary music,Concert,Takeshi Kobayashi,,"Singapore Musical Society; Young Musicians' Society (YMS); The Japanese Association, Singapore (JAS); The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Classical music performance by Tokyo Philharmonic Orchestra,,1973-09-12,Evening,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Tokyo Philharmonic Orchestra,,National Theatre Trust; Embassy of Japan in Singapore,,,,,,
,Classical music performance by Tokyo Philharmonic Orchestra,,1973-09-13,Evening,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Tokyo Philharmonic Orchestra,,National Theatre Trust; Embassy of Japan in Singapore,,,,,,
,Variety show performance by Takarazuka Revue,,1973-12-08,20:30,National Theatre,,1.292954,103.844164,,Nihon Buyo; Contemporary dance; Contemporary music,Others,Takarazuka Revue,,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust; Embassy of Japan in Singapore",,,,,,
,Variety show performance by Takarazuka Revue,,1973-12-09,20:30,National Theatre,,1.292954,103.844164,,Nihon Buyo; Contemporary dance; Contemporary music,Others,Takarazuka Revue,,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust; Embassy of Japan in Singapore",,,,,,
,Variety show performance by Takarazuka Revue,,1973-12-10,20:30,National Theatre,,1.292954,103.844164,,Nihon Buyo; Contemporary dance; Contemporary music,Others,Takarazuka Revue,,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust; Embassy of Japan in Singapore",,,,,,
,Taiko performance in by Osuwa Daiko in Guyue Yingchun (????) Chinese New Year variety show,,1974-01-25,20:30,National Theatre,,1.292954,103.844164,,Traditional music,Concert,Osuwa Daiko,?????,National Theatre Trust,,,,,,
,Taiko performance in by Osuwa Daiko in Guyue Yingchun (????) Chinese New Year variety show,,1974-01-26,20:30,National Theatre,,1.292954,103.844164,,Traditional music,Concert,Osuwa Daiko,?????,National Theatre Trust,,,,,,
,Ballet performance by Tokyo Ballet Piccolo,,1974-08-10,Evening,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tokyo Ballet Piccolo,,National Theatre Trust,,,,,,
,Ballet performance by Tokyo Ballet Piccolo,,1974-08-11,Evening,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tokyo Ballet Piccolo,,National Theatre Trust,,,,,,
,Kobayashi Takeshi - Violin Recital,,1974-11-23,Evening,DBS Auditorium,"6 Shenton Way, #03-00, DBS Building Tower 1, Singapore 068809",1.27698,103.8484,,Contemporary music,Concert,Kobayashi Takeshi,,National Theatre Trust,,,,,,
,Brass band performance by Tenri High School Brass Band (Outdoor performance),,1975-07-06,Evening,Chinese Garden,"1 Chinese Garden Road, Singapore 619795",1.33627,103.73096,,Contemporary music,Concert,Tenri High School Brass Band,,National Theatre Trust; Embassy of Japan in Singapore,,,,,,
,Brass band performance by Tenri High School Brass Band,,1975-07-07,Evening,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Tenri High School Brass Band,,National Theatre Trust,,,,,,
,Brass band performance by Tenri High School Brass Band,,1975-07-07,19:30,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Tenri High School Brass Band,,National Theatre Trust; Embassy of Japan in Singapore,,,,,,
,Traditional Japanese music performance by Shinichi Yuize Ensemble,,1975-08-11,20:30,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Traditional music,Concert,Shinichi Yuize Ensemble,,National Theatre Trust; Embassy of Japan in Singapore; Asian Composers League (ACL),,,,,,
,Tokyo Tokk Ensemble,,1975-11-25,20:30,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Contemporary music; Contemporary dance; Traditional music,Concert,Tokyo Tokk Ensemble,,National Theatre Trust,,,,,,
,Tokyo Tokk Ensemble,,1975-11-26,20:30,Singapore Conference Hall,"7 Shenton Way, Singapore 068810",1.276165,103.84903,,Contemporary music; Contemporary dance; Traditional music,Concert,Tokyo Tokk Ensemble,,National Theatre Trust,,,,,,
,Suzuron Festival,,1976-07-01,Evening,"Shangri-La Hotel, Singapore, Island Ballroom","22 Orange Grove Road, Singapore 258350",1.311224,103.826788,,Nihon Buyo; Folk dance; Contemporary music,Others,Hanayagi Dance Academy; Mayuzumi Jun (singer),,"Shangri-La Hotel, Singapore; Cathay Pacific Airways",,,,,,
,Suzuron Festival,,1976-07-02,Evening,"Shangri-La Hotel, Singapore, Island Ballroom","22 Orange Grove Road, Singapore 258350",1.311224,103.826788,,Nihon Buyo; Folk dance; Contemporary music,Others,Hanayagi Dance Academy; Jun Mayuzumi (singer),,"Shangri-La Hotel, Singapore; Cathay Pacific Airways",,,,,,
,Suzuron Festival,,1976-07-03,Evening,"Shangri-La Hotel, Singapore, Island Ballroom","22 Orange Grove Road, Singapore 258350",1.311224,103.826788,,Nihon Buyo; Folk dance; Contemporary music,Others,Hanayagi Dance Academy; Mayuzumi Jun (singer),,"Shangri-La Hotel, Singapore; Cathay Pacific Airways",,,,,,
,Tokyo Ballet Piccolo,,1976-08-07,20:00,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tokyo Ballet Piccolo,,National Theatre Trust,,,,,,
,Tokyo Ballet Piccolo,,1976-08-08,20:00,National Theatre,,1.292954,103.844164,,Ballet,Dance,Tokyo Ballet Piccolo,,National Theatre Trust,,,,,,
,Puppet show by Hoppy Puppet Theatre,,1976-08-29,All-day,Red Cross House,"15 Penang Lane, Red Cross House, Singapore 238486",1.29727,103.84449,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Puppet show by Hoppy Puppet Theatre,,1976-08-29,All-day,Cultural Centre (Fort Canning),"40 Canning Rise, Singapore",1.29521,103.84677,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Daito Bunka University Band,,1976-09-04,20:30,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Daito Bunka University Band,,Cathay Pacific Airways; National Theatre Trust,,,,,,
,6th Japanese Cultural Festival: Nihon Buyo and Koto performance,,1976-09-13,Evening,National Theatre,,1.292954,103.844164,,Nihon Buyo; Traditional music,Others,Japan Cultural Goodwill Mission (under World Cultural Centre of Japan),,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Nihon Buyo performance,,1977-03-11,20:00,Hotel Equatorial,"151 Stevens Road, Singapore",1.3203,103.8248,,Nihon Buyo; Contemporary dance,Dance,Japanese Dance and Cultural Group,????????? (from Chinese newspaper),ABC Travel Agency,,,,,,
,Japanese Culture Night,,1977-03-15,20:00,National Theatre,,1.292954,103.844164,,Traditional music; Contemporary music; Nihon Buyo,Others,Japanese Cultural Goodwill Mission (Music); Hanayagi Kakujiro (Hanayagi School of Dancing); Kurahashi Fumiko (Sado),,,,,,,,
,Puppet show by Hoppy Puppet Theatre,,1977-08-25,Evening,National Theatre,,1.292954,103.844164,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,"The Japanese Association, Singapore (JAS); The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Puppet show by Hoppy Puppet Theatre,,1977-08-26,Daytime,The Japanese School Singapore,"95 Clementi Road, Singapore",1.30052,103.76884,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,"The Japanese Association, Singapore (JAS); The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Puppet show by Hoppy Puppet Theatre,,1977-08-27,All-day,Chong Hock Girls' School,"156 Kreta Ayer Street, Singapore",1.28073,103.84748,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,"The Japanese Association, Singapore (JAS); The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Puppet show by Hoppy Puppet Theatre,,1977-08-27,All-day,Children's Convalescent Home of Sembawang,"420 Keramat Road, Singapore",1.45244,103.78876,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,"The Japanese Association, Singapore (JAS); The Japanese Cultural Society, Singapore (JCS)",,,,,,
,The Matsumoto Ballet Company from Japan,,1977-09-02,20:00,National Theatre,,1.292954,103.844164,,Ballet,Dance,Matsumoto Ballet Company,,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust",,,,,,
,Nihon Buyo performance by Shosen Fujiogi Dance Troupe,,1977-09-04,10:00,National Theatre,,1.292954,103.844164,,Ballet,Dance,Matsumoto Michiko Ballet Company (Japan); National Theatre Trust Ballet Group (Singapore),,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Nihon Buyo performance by Shosen Fujiogi Dance Troupe,,1977-09-11,20:00,National Theatre,,1.292954,103.844164,,Nihon Buyo,Dance,Shosen Fujiogi Dance Troupe,,"The Japanese Cultural Society, Singapore (JCS)",,,,,,
,Guitar Serenade by Nakabayashi Atsumasa,,1977-10-07,Evening,DBS Auditorium,"6 Shenton Way, #03-00, DBS Building Tower 1, Singapore 068809",1.27698,103.8484,,Contemporary music,Concert,Atsumasa Nakabayashi,,,,,,,,
,Electone Fantasy by Saito Hidemi jointly presented with Yamaha Music School,,1977-12-07,Evening,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Hidemi Saito; Yamaha Music School students,,National Theatre Trust; Yamaha,,,,,,
,Jazz of Japan,,1978-01-21,20:30,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Jazz,Concert,Nobuo Hara and his Sharps & Flats,,National Theatre Trust; The Japan Foundation; Embassy of Japan in Singapore,,,,,,
,Jazz of Japan,,1978-01-22,20:30,Victoria Theatre & Concert Hall,"9 Empress Place, Singapore 179556",1.288367,103.851667,,Jazz,Concert,Nobuo Hara and his Sharps & Flats,,National Theatre Trust; The Japan Foundation; Embassy of Japan in Singapore,,,,,,
,Quartet Vocal of Japan by the Duke Aces,,1978-06-24,20:30,DBS Auditorium,"6 Shenton Way, #03-00, DBS Building Tower 1, Singapore 068809",1.27698,103.8484,,Jazz,Concert,The Duke Aces; Kataoka Yasuhiko,,National Theatre Trust,,,,,,
,Quartet Vocal of Japan by the Duke Aces,,1978-06-25,20:30,DBS Auditorium,"6 Shenton Way, #03-00, DBS Building Tower 1, Singapore 068809",1.27698,103.8484,,Jazz,Concert,The Duke Aces; Kataoka Yasuhiko,,National Theatre Trust,,,,,,
,Choral concert by Kwansei Gakuin Glee Club,,1978-07-29,19:30,"Public Utilities Board (PUB), Auditorium","111 Somerset Road, Singapore 238164",1.3002,103.83731,,Choir; Contemporary music,Concert,Kwansei Gakuin Glee Club,,National University of Singapore (NUS),,,,,,
,Choral concert by Kwansei Gakuin Glee Club,,1978-07-29,13:00,National University of Singapore (NUS),"Bukit Timah, Singapore",1.3189081,103.817132,,Choir; Contemporary music,Concert,Kwansei Gakuin Glee Club,,National University of Singapore (NUS),,,,,,
,Choral performance by Kwansei Gakuin Glee Club,,1978-07-30,19:00,Wesley Methodist Church,"5 Fort Canning Road, Singapore 179493",1.29706,103.8475,,Choir; Contemporary music,Concert,Kwansei Gakuin Glee Club,,National University of Singapore (NUS),,,,,,
,8th Japanese Cultural Festival: Gagaku concert,,1978-08-07,Evening,"Public Utilities Board (PUB), Auditorium","111 Somerset Road, Singapore 238164",1.3002,103.83731,,Gagaku,Concert,"Gagaku Department, Tenri University",,"The Japanese Cultural Society, Singapore (JCS); Tenrikyo Association (Singapore)",,,,,,
,Puppet show by Hoppy Puppet Theatre,,1978-08-25,Daytime,Pei Chun Public School,"16 Toa Payoh Lorong 7, Singapore 319320",1.33733,103.85563,,Puppet theatre,Theatre,Hoppy Puppet Theatre,,,,,,,,
,8th Japanese Cultural Festival Opening Night: Folk dance and song performance by Kasuga Kotobuki Folk Dance Troupe,,1978-09-01,20:00,National Theatre,,1.292954,103.844164,,Folk dance; Minyo,Others,Kasuga Kotobuki Folk Dance Troupe (Kyushu),,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS)",,,,,,
,Performance by Hayashi Sumiko Sorinkai (Tokyo),,1978-09-11,20:30,Victoria Theatre & Concert Hall,,1.288367,103.851667,,Traditional music,Others,Hayashi Sumiko Sorinkai troupe (Tokyo),,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS)",,,,,,
,Classical music performance by Amadeus Chamber Orchestra (Tokyo),,1979-03-20,20:30,Singapore Conference Hall,,1.276115,103.849038,,Contemporary music,Concert,Amadeus Chamber Orchestra (Tokyo),,"The Japanese Cultural Society, Singapore (JCS); National Theatre Trust",,,,,,
,Classical music performance by Kwansei Gakuin University Symphonic Band,,1979-07-29,20:30,National Theatre,,1.292954,103.844164,,Contemporary music,Concert,Kwansei Gakuin University Symphonic Band,,National Theatre Trust; Embassy of Japan in Singapore,,,,,,
,Folk dance and singing performance by Shizuoka Folk Dance group,,1979-08-10,Evening,"Plaza Singapura, Concourse",,1.300748,103.845048,,Minyo; Folk dance,Others,Shizuoka Folk Dance group,,Tigress Pte Ltd Singapore,,,,,,
,Folk dance and choral performance by Shizuoka Folk Dance group,,1979-08-10,Evening,Plaza Singapura,,1.300748,103.845048,,Minyo; Folk dance,Others,Shizuoka Folk Dance group,,Tigress Pte Ltd Singapore,,,,,,
,Folk dance and choral performance by Shizuoka Folk Dance group,,1979-08-11,15:00,Mitsukoshi Garden,,1.300748,103.845048,,Minyo; Folk dance,Others,Shizuoka Folk Dance group,,Tigress Pte Ltd Singapore,,,,,,
,Classical music performance by NHK Symphonic Orchestra,,1979-08-29,20:30,National Theatre,,1.292954,103.844164,,Classical music,Concert,NHK Symphonic Orchestra,,,,,,,,
